state,type_id,c,cr
draft,PublicDebtPaymentPlan,25,2021-11
editOrAddEmployersAndPeriods,ParentalLeave,7,2021-11
employerApproval,ParentalLeave,2,2021-11
employerWaitingToAssign,ParentalLeave,3,2021-11
inFinalReview,AccidentNotification,7,2021-11
inReview,ChildrenResidenceChange,2,2021-11
inReview,HealthInsurance,70,2021-11
otherParentApproval,ParentalLeave,1,2021-11
payment,DrivingLicense,64,2021-11
prerequisites,DrivingAssessmentApproval,200,2021-11
prerequisites,DrivingLicense,19,2021-11
prerequisites,ExampleForm,1,2021-11
prerequisites,HealthInsurance,146,2021-11
prerequisites,ParentalLeave,2,2021-11
rejected,DocumentProviderOnboarding,1,2021-11
rejectedbyparentb,ChildrenResidenceChange,1,2021-11
residenceGrantApplicationNoBirthDate,ParentalLeave,2,2021-11
review,AccidentNotification,8,2021-11
reviewAddAttachment,AccidentNotification,4,2021-11
reviewerWaitingToAssign,DocumentProviderOnboarding,3,2021-11
submitted,ChildrenResidenceChange,3,2021-11
submitted,PublicDebtPaymentPlan,1,2021-11
testPhase,DocumentProviderOnboarding,2,2021-11
vinnumalastofnunApproval,ParentalLeave,75,2021-11
vinnumalastofnunApproveEdits,ParentalLeave,3,2021-11
approved,DrivingAssessmentApproval,103,2021-12
approved,InstitutionCollaboration,2,2021-12
closed,PublicDebtPaymentPlan,12,2021-12
done,DrivingLicense,7,2021-12
draft,ChildrenResidenceChange,33,2021-12
draft,DataProtectionAuthorityComplaint,1,2021-12
draft,DocumentProviderOnboarding,34,2021-12
draft,DrivingLicense,95,2021-12
draft,GeneralPetitionService,2,2021-12
draft,HealthInsurance,14,2021-12
draft,InstitutionCollaboration,14,2021-12
draft,MetaApplication,2,2021-12
draft,ParentalLeave,1,2021-12
draft,PartyApplication,1,2021-12
draft,PublicDebtPaymentPlan,29,2021-12
editOrAddEmployersAndPeriods,ParentalLeave,3,2021-12
employerApproval,ParentalLeave,2,2021-12
employerApproveEdits,ParentalLeave,1,2021-12
employerWaitingToAssignForEdits,ParentalLeave,1,2021-12
inReview,ChildrenResidenceChange,6,2021-12
inReview,HealthInsurance,60,2021-12
payment,DrivingLicense,79,2021-12
prerequisites,DrivingAssessmentApproval,103,2021-12
prerequisites,DrivingLicense,28,2021-12
prerequisites,HealthInsurance,34,2021-12
rejectedbyparentb,ChildrenResidenceChange,1,2021-12
residenceGrantApplicationNoBirthDate,ParentalLeave,1,2021-12
reviewerWaitingToAssign,DocumentProviderOnboarding,1,2021-12
submitted,ChildrenResidenceChange,26,2021-12
submitted,LoginService,2,2021-12
submitted,PublicDebtPaymentPlan,2,2021-12
vinnumalastofnunApproval,ParentalLeave,49,2021-12
vinnumalastofnunApproveEdits,ParentalLeave,7,2021-12
approved,DrivingAssessmentApproval,177,2022-01
approved,GeneralPetitionService,3,2022-01
approved,InstitutionCollaboration,1,2022-01
approved,ParentalLeave,1,2022-01
closed,PublicDebtPaymentPlan,18,2022-01
completed,CriminalRecord,97,2022-01
done,DrivingLicense,83,2022-01
draft,AccidentNotification,35,2022-01
draft,ChildrenResidenceChange,70,2022-01
draft,CriminalRecord,171,2022-01
draft,DataProtectionAuthorityComplaint,7,2022-01
draft,DocumentProviderOnboarding,79,2022-01
draft,DrivingLicense,17,2022-01
draft,GeneralPetitionService,1,2022-01
draft,HealthInsurance,12,2022-01
draft,InstitutionCollaboration,18,2022-01
draft,LoginService,68,2022-01
draft,ParentalLeave,1,2022-01
draft,PSign,3,2022-01
draft,PublicDebtPaymentPlan,31,2022-01
editOrAddEmployersAndPeriods,ParentalLeave,21,2022-01
employerApproval,ParentalLeave,7,2022-01
employerWaitingToAssignForEdits,ParentalLeave,2,2022-01
inReview,ChildrenResidenceChange,5,2022-01
inReview,DataProtectionAuthorityComplaint,9,2022-01
inReview,DocumentProviderOnboarding,1,2022-01
inReview,HealthInsurance,59,2022-01
otherParentApproval,ParentalLeave,1,2022-01
payment,CriminalRecord,25,2022-01
payment,DrivingLicense,40,2022-01
prerequisites,DrivingAssessmentApproval,203,2022-01
prerequisites,DrivingLicense,278,2022-01
prerequisites,ExampleForm,1,2022-01
prerequisites,HealthInsurance,110,2022-01
prerequisites,ParentalLeave,3,2022-01
rejected,DocumentProviderOnboarding,3,2022-01
rejectedbyparentb,ChildrenResidenceChange,4,2022-01
residenceGrantApplication,ParentalLeave,4,2022-01
review,AccidentNotification,3,2022-01
reviewAddAttachment,AccidentNotification,2,2022-01
reviewerWaitingToAssign,DocumentProviderOnboarding,5,2022-01
submitted,ChildrenResidenceChange,20,2022-01
submitted,LoginService,17,2022-01
submitted,PublicDebtPaymentPlan,10,2022-01
vinnumalastofnunApproval,ParentalLeave,113,2022-01
vinnumalastofnunApproveEdits,ParentalLeave,17,2022-01
approved,DrivingAssessmentApproval,203,2022-02
approved,InstitutionCollaboration,2,2022-02
closed,PublicDebtPaymentPlan,18,2022-02
completed,CriminalRecord,1012,2022-02
done,DrivingLicense,133,2022-02
draft,AccidentNotification,6,2022-02
draft,ChildrenResidenceChange,15,2022-02
draft,ComplaintsToAlthingiOmbudsman,1,2022-02
draft,CriminalRecord,1719,2022-02
draft,DataProtectionAuthorityComplaint,9,2022-02
draft,DocumentProviderOnboarding,9,2022-02
draft,DrivingLicense,6,2022-02
draft,GeneralPetitionService,2,2022-02
draft,HealthInsurance,8,2022-02
draft,InstitutionCollaboration,8,2022-02
draft,LoginService,78,2022-02
draft,ParentalLeave,3,2022-02
draft,PSign,1,2022-02
draft,PublicDebtPaymentPlan,27,2022-02
editOrAddEmployersAndPeriods,ParentalLeave,11,2022-02
employerApproval,ParentalLeave,7,2022-02
employerApproveEdits,ParentalLeave,1,2022-02
employerWaitingToAssign,ParentalLeave,1,2022-02
employerWaitingToAssignForEdits,ParentalLeave,2,2022-02
inFinalReview,AccidentNotification,4,2022-02
inReview,ChildrenResidenceChange,7,2022-02
inReview,DataProtectionAuthorityComplaint,5,2022-02
inReview,HealthInsurance,47,2022-02
payment,CriminalRecord,155,2022-02
payment,DrivingLicense,11,2022-02
prerequisites,DrivingAssessmentApproval,81,2022-02
prerequisites,DrivingLicense,331,2022-02
prerequisites,HealthInsurance,129,2022-02
rejectedbyparentb,ChildrenResidenceChange,1,2022-02
residenceGrantApplication,ParentalLeave,2,2022-02
residenceGrantApplicationNoBirthDate,ParentalLeave,2,2022-02
review,AccidentNotification,3,2022-02
reviewAddAttachment,AccidentNotification,3,2022-02
reviewerWaitingToAssign,DocumentProviderOnboarding,2,2022-02
submitted,ChildrenResidenceChange,16,2022-02
submitted,LoginService,12,2022-02
submitted,PublicDebtPaymentPlan,1,2022-02
testPhase,DocumentProviderOnboarding,1,2022-02
vinnumalastofnunApproval,ParentalLeave,96,2022-02
vinnumalastofnunApproveEdits,ParentalLeave,14,2022-02
approved,DrivingAssessmentApproval,292,2022-03
approved,InstitutionCollaboration,9,2022-03
approved,ParentalLeave,1,2022-03
closed,PublicDebtPaymentPlan,14,2022-03
completed,CriminalRecord,1303,2022-03
completed,MortgageCertificate,8,2022-03
done,DrivingLicense,195,2022-03
done,PSign,22,2022-03
draft,AccidentNotification,18,2022-03
draft,ChildrenResidenceChange,41,2022-03
draft,CriminalRecord,952,2022-03
draft,DataProtectionAuthorityComplaint,3,2022-03
draft,DocumentProviderOnboarding,4,2022-03
draft,DrivingLicense,12,2022-03
draft,FundingGovernmentProjects,1,2022-03
draft,HealthInsurance,7,2022-03
draft,InstitutionCollaboration,17,2022-03
draft,LoginService,53,2022-03
draft,MortgageCertificate,8,2022-03
draft,ParentalLeave,49,2022-03
draft,Passport,1,2022-03
draft,PSign,197,2022-03
draft,PublicDebtPaymentPlan,20,2022-03
editOrAddEmployersAndPeriods,ParentalLeave,38,2022-03
employerApproval,ParentalLeave,14,2022-03
employerApproveEdits,ParentalLeave,5,2022-03
employerRequiresAction,ParentalLeave,5,2022-03
employerWaitingToAssign,ParentalLeave,12,2022-03
employerWaitingToAssignForEdits,ParentalLeave,3,2022-03
inFinalReview,AccidentNotification,7,2022-03
inReview,ChildrenResidenceChange,9,2022-03
inReview,DataProtectionAuthorityComplaint,5,2022-03
inReview,HealthInsurance,37,2022-03
otherParentApproval,ParentalLeave,2,2022-03
otherParentRequiresAction,ParentalLeave,1,2022-03
payment,CriminalRecord,189,2022-03
payment,DrivingLicense,27,2022-03
payment,MortgageCertificate,4,2022-03
payment_info,MortgageCertificate,8,2022-03
pending_rejected_try_again,MortgageCertificate,8,2022-03
prerequisites,DrivingAssessmentApproval,116,2022-03
prerequisites,DrivingLicense,482,2022-03
prerequisites,HealthInsurance,99,2022-03
prerequisites,ParentalLeave,891,2022-03
rejectedbyparentb,ChildrenResidenceChange,3,2022-03
residenceGrantApplication,ParentalLeave,1,2022-03
residenceGrantApplicationNoBirthDate,ParentalLeave,4,2022-03
review,AccidentNotification,6,2022-03
reviewAddAttachment,AccidentNotification,10,2022-03
submitted,ChildrenResidenceChange,15,2022-03
submitted,LoginService,15,2022-03
testPhase,DocumentProviderOnboarding,1,2022-03
vinnumalastofnunApproval,ParentalLeave,192,2022-03
vinnumalastofnunApproveEdits,ParentalLeave,15,2022-03
approved,DrivingAssessmentApproval,315,2022-04
approved,InstitutionCollaboration,5,2022-04
approved,ParentalLeave,1,2022-04
closed,PublicDebtPaymentPlan,66,2022-04
completed,CriminalRecord,1148,2022-04
completed,MortgageCertificate,36,2022-04
done,DrivingLicense,206,2022-04
done,PSign,41,2022-04
draft,AccidentNotification,25,2022-04
draft,ChildrenResidenceChange,12,2022-04
draft,CriminalRecord,686,2022-04
draft,DataProtectionAuthorityComplaint,9,2022-04
draft,DocumentProviderOnboarding,1,2022-04
draft,DrivingLicense,5,2022-04
draft,GeneralFishingLicense,9,2022-04
draft,HealthInsurance,3,2022-04
draft,InstitutionCollaboration,6,2022-04
draft,LoginService,41,2022-04
draft,MortgageCertificate,347,2022-04
draft,ParentalLeave,59,2022-04
draft,PSign,371,2022-04
draft,PublicDebtPaymentPlan,326,2022-04
editOrAddEmployersAndPeriods,ParentalLeave,57,2022-04
employerApproval,ParentalLeave,10,2022-04
employerWaitingToAssign,ParentalLeave,9,2022-04
employerWaitingToAssignForEdits,ParentalLeave,4,2022-04
inFinalReview,AccidentNotification,3,2022-04
inReview,ChildrenResidenceChange,9,2022-04
inReview,HealthInsurance,46,2022-04
otherParentApproval,ParentalLeave,1,2022-04
otherParentRequiresAction,ParentalLeave,1,2022-04
payment,CriminalRecord,151,2022-04
payment,DrivingLicense,26,2022-04
payment,MortgageCertificate,6,2022-04
payment_info,MortgageCertificate,26,2022-04
pending_rejected_try_again,MortgageCertificate,15,2022-04
prerequisites,DrivingAssessmentApproval,57,2022-04
prerequisites,DrivingLicense,431,2022-04
prerequisites,GeneralFishingLicense,2,2022-04
prerequisites,HealthInsurance,131,2022-04
prerequisites,ParentalLeave,1142,2022-04
prerequisites,PublicDebtPaymentPlan,96,2022-04
rejectedbyparentb,ChildrenResidenceChange,4,2022-04
residenceGrantApplication,ParentalLeave,9,2022-04
residenceGrantApplicationNoBirthDate,ParentalLeave,8,2022-04
review,AccidentNotification,11,2022-04
reviewAddAttachment,AccidentNotification,11,2022-04
reviewerWaitingToAssign,DocumentProviderOnboarding,1,2022-04
submitted,ChildrenResidenceChange,13,2022-04
submitted,LoginService,7,2022-04
submitted,PublicDebtPaymentPlan,4,2022-04
vinnumalastofnunApproval,ParentalLeave,254,2022-04
vinnumalastofnunApproveEdits,ParentalLeave,38,2022-04
approved,DrivingAssessmentApproval,399,2022-05
approved,InstitutionCollaboration,3,2022-05
approved,ParentalLeave,3,2022-05
completed,CriminalRecord,1415,2022-05
completed,MortgageCertificate,76,2022-05
CONFIRM,DrivingSchoolConfirmation,1,2022-05
done,DrivingLicense,273,2022-05
done,PSign,48,2022-05
draft,AccidentNotification,27,2022-05
draft,ChildrenResidenceChange,31,2022-05
draft,CriminalRecord,863,2022-05
draft,DataProtectionAuthorityComplaint,5,2022-05
draft,DrivingLicense,6,2022-05
draft,FinancialAid,1,2022-05
draft,GeneralFishingLicense,15,2022-05
draft,HealthInsurance,1,2022-05
draft,InstitutionCollaboration,9,2022-05
draft,LoginService,67,2022-05
draft,MortgageCertificate,380,2022-05
draft,NoDebtCertificate,4,2022-05
draft,ParentalLeave,58,2022-05
draft,PSign,504,2022-05
draft,PublicDebtPaymentPlan,422,2022-05
editOrAddEmployersAndPeriods,ParentalLeave,78,2022-05
employerApproval,ParentalLeave,4,2022-05
employerApproveEdits,ParentalLeave,1,2022-05
employerWaitingToAssign,ParentalLeave,17,2022-05
employerWaitingToAssignForEdits,ParentalLeave,4,2022-05
inFinalReview,AccidentNotification,2,2022-05
inReview,ChildrenResidenceChange,5,2022-05
inReview,DataProtectionAuthorityComplaint,6,2022-05
inReview,HealthInsurance,72,2022-05
muncipalityNotRegistered,FinancialAid,3,2022-05
payment,CriminalRecord,209,2022-05
payment,DrivingLicense,26,2022-05
payment,GeneralFishingLicense,2,2022-05
payment,MortgageCertificate,10,2022-05
payment_info,MortgageCertificate,21,2022-05
pending_rejected_try_again,MortgageCertificate,27,2022-05
prerequisites,DrivingAssessmentApproval,153,2022-05
prerequisites,DrivingLicense,619,2022-05
prerequisites,ExampleForm,1,2022-05
prerequisites,FinancialAid,12,2022-05
prerequisites,GeneralFishingLicense,24,2022-05
prerequisites,HealthInsurance,141,2022-05
prerequisites,ParentalLeave,1427,2022-05
prerequisites,PublicDebtPaymentPlan,3303,2022-05
REGISTRY,DrivingInstructorRegistrations,3,2022-05
rejectedbyparentb,ChildrenResidenceChange,2,2022-05
residenceGrantApplication,ParentalLeave,11,2022-05
residenceGrantApplicationNoBirthDate,ParentalLeave,3,2022-05
review,AccidentNotification,8,2022-05
reviewAddAttachment,AccidentNotification,8,2022-05
submitted,ChildrenResidenceChange,14,2022-05
submitted,GeneralFishingLicense,1,2022-05
submitted,LoginService,5,2022-05
submitted,PublicDebtPaymentPlan,389,2022-05
testPhase,DocumentProviderOnboarding,1,2022-05
vinnumalastofnunApproval,ParentalLeave,346,2022-05
vinnumalastofnunApproveEdits,ParentalLeave,46,2022-05
approved,DrivingAssessmentApproval,373,2022-06
approved,InstitutionCollaboration,11,2022-06
approved,ParentalLeave,2,2022-06
completed,CriminalRecord,964,2022-06
completed,MortgageCertificate,69,2022-06
completed,NoDebtCertificate,27,2022-06
CONFIRM,DrivingSchoolConfirmation,1,2022-06
declined,DrivingLicense,1,2022-06
delegated,AnnouncementOfDeath,13,2022-06
done,AnnouncementOfDeath,4,2022-06
done,DrivingLicense,270,2022-06
done,PSign,64,2022-06
draft,AccidentNotification,47,2022-06
draft,AnnouncementOfDeath,4,2022-06
draft,ChildrenResidenceChange,32,2022-06
draft,CriminalRecord,795,2022-06
draft,DataProtectionAuthorityComplaint,2,2022-06
draft,DocumentProviderOnboarding,2,2022-06
draft,DrivingLicense,4,2022-06
draft,FinancialAid,4,2022-06
draft,HealthInsurance,32,2022-06
draft,InstitutionCollaboration,21,2022-06
draft,LoginService,57,2022-06
draft,MortgageCertificate,1573,2022-06
draft,NoDebtCertificate,67,2022-06
draft,ParentalLeave,88,2022-06
draft,PSign,373,2022-06
draft,PublicDebtPaymentPlan,384,2022-06
editOrAddEmployersAndPeriods,ParentalLeave,84,2022-06
employerApproval,ParentalLeave,3,2022-06
employerApproveEdits,ParentalLeave,1,2022-06
employerRequiresAction,ParentalLeave,1,2022-06
employerWaitingToAssign,ParentalLeave,11,2022-06
employerWaitingToAssignForEdits,ParentalLeave,11,2022-06
inFinalReview,AccidentNotification,4,2022-06
inReview,ChildrenResidenceChange,16,2022-06
inReview,DataProtectionAuthorityComplaint,1,2022-06
inReview,HealthInsurance,40,2022-06
payment,CriminalRecord,146,2022-06
payment,DrivingLicense,31,2022-06
payment,MortgageCertificate,8,2022-06
payment_info,MortgageCertificate,43,2022-06
pending_rejected_try_again,MortgageCertificate,40,2022-06
prerequisites,AnnouncementOfDeath,22,2022-06
prerequisites,DrivingAssessmentApproval,113,2022-06
prerequisites,DrivingLicense,1352,2022-06
prerequisites,FinancialAid,3,2022-06
prerequisites,GeneralFishingLicense,9,2022-06
prerequisites,HealthInsurance,196,2022-06
prerequisites,ParentalLeave,1642,2022-06
prerequisites,PublicDebtPaymentPlan,2444,2022-06
REGISTRY,DrivingInstructorRegistrations,3,2022-06
rejectedbyparentb,ChildrenResidenceChange,3,2022-06
residenceGrantApplication,ParentalLeave,7,2022-06
residenceGrantApplicationNoBirthDate,ParentalLeave,6,2022-06
review,AccidentNotification,15,2022-06
reviewAddAttachment,AccidentNotification,19,2022-06
reviewerWaitingToAssign,DocumentProviderOnboarding,1,2022-06
submitted,ChildrenResidenceChange,18,2022-06
submitted,FinancialAid,1,2022-06
submitted,LoginService,3,2022-06
submitted,PublicDebtPaymentPlan,391,2022-06
testPhase,DocumentProviderOnboarding,2,2022-06
vinnumalastofnunApproval,ParentalLeave,321,2022-06
vinnumalastofnunApproveEdits,ParentalLeave,84,2022-06
approved,DrivingAssessmentApproval,404,2022-07
approved,InstitutionCollaboration,1,2022-07
approved,ParentalLeave,2,2022-07
completed,CriminalRecord,711,2022-07
completed,MortgageCertificate,64,2022-07
completed,NoDebtCertificate,5,2022-07
declined,DrivingLicense,2,2022-07
done,DrivingLicense,306,2022-07
done,PSign,47,2022-07
draft,AccidentNotification,34,2022-07
draft,ChildrenResidenceChange,18,2022-07
draft,ComplaintsToAlthingiOmbudsman,5,2022-07
draft,CriminalRecord,579,2022-07
draft,DataProtectionAuthorityComplaint,1,2022-07
draft,DrivingLicense,8,2022-07
draft,FinancialAid,4,2022-07
draft,HealthInsurance,15,2022-07
draft,InstitutionCollaboration,2,2022-07
draft,LoginService,28,2022-07
draft,MortgageCertificate,1616,2022-07
draft,NoDebtCertificate,33,2022-07
draft,ParentalLeave,55,2022-07
draft,PSign,415,2022-07
draft,PublicDebtPaymentPlan,112,2022-07
editOrAddEmployersAndPeriods,ParentalLeave,94,2022-07
employerApproveEdits,ParentalLeave,1,2022-07
employerWaitingToAssign,ParentalLeave,12,2022-07
employerWaitingToAssignForEdits,ParentalLeave,2,2022-07
inFinalReview,AccidentNotification,2,2022-07
inReview,ChildrenResidenceChange,11,2022-07
inReview,DataProtectionAuthorityComplaint,1,2022-07
inReview,HealthInsurance,72,2022-07
otherParentApproval,ParentalLeave,1,2022-07
payment,CriminalRecord,123,2022-07
payment,DrivingLicense,20,2022-07
payment,MortgageCertificate,14,2022-07
payment_info,MortgageCertificate,59,2022-07
pending_rejected_try_again,MortgageCertificate,22,2022-07
prerequisites,AnnouncementOfDeath,1,2022-07
prerequisites,DrivingAssessmentApproval,169,2022-07
prerequisites,DrivingLicense,2000,2022-07
prerequisites,FinancialAid,3,2022-07
prerequisites,GeneralFishingLicense,2,2022-07
prerequisites,HealthInsurance,448,2022-07
prerequisites,ParentalLeave,943,2022-07
prerequisites,PublicDebtPaymentPlan,930,2022-07
residenceGrantApplication,ParentalLeave,11,2022-07
residenceGrantApplicationNoBirthDate,ParentalLeave,5,2022-07
review,AccidentNotification,8,2022-07
reviewAddAttachment,AccidentNotification,21,2022-07
submitted,ChildrenResidenceChange,23,2022-07
submitted,PublicDebtPaymentPlan,59,2022-07
testPhase,DocumentProviderOnboarding,1,2022-07
vinnumalastofnunApproval,ParentalLeave,260,2022-07
vinnumalastofnunApproveEdits,ParentalLeave,76,2022-07
approved,DrivingAssessmentApproval,431,2022-08
approved,InstitutionCollaboration,8,2022-08
approved,ParentalLeave,4,2022-08
completed,CriminalRecord,998,2022-08
completed,MortgageCertificate,83,2022-08
completed,NoDebtCertificate,45,2022-08
CONFIRM,DrivingSchoolConfirmation,1,2022-08
declined,DrivingLicense,2,2022-08
done,DrivingLicense,358,2022-08
done,PSign,47,2022-08
draft,AccidentNotification,63,2022-08
draft,ChildrenResidenceChange,39,2022-08
draft,CriminalRecord,780,2022-08
draft,DataProtectionAuthorityComplaint,5,2022-08
draft,DrivingLicense,20,2022-08
draft,FinancialAid,1,2022-08
draft,FinancialStatementsInao,1,2022-08
draft,FundingGovernmentProjects,2,2022-08
draft,HealthInsurance,14,2022-08
draft,InstitutionCollaboration,12,2022-08
draft,LoginService,56,2022-08
draft,MortgageCertificate,1887,2022-08
draft,NoDebtCertificate,365,2022-08
draft,OperatingLicense,3,2022-08
draft,ParentalLeave,89,2022-08
draft,Passport,1,2022-08
draft,PSign,365,2022-08
draft,PublicDebtPaymentPlan,84,2022-08
editOrAddEmployersAndPeriods,ParentalLeave,105,2022-08
employerApproval,ParentalLeave,3,2022-08
employerApproveEdits,ParentalLeave,4,2022-08
employerWaitingToAssign,ParentalLeave,13,2022-08
employerWaitingToAssignForEdits,ParentalLeave,11,2022-08
inFinalReview,AccidentNotification,5,2022-08
inReview,ChildrenResidenceChange,9,2022-08
inReview,DataProtectionAuthorityComplaint,3,2022-08
inReview,HealthInsurance,153,2022-08
muncipalityNotRegistered,FinancialAid,5,2022-08
otherParentRequiresAction,ParentalLeave,1,2022-08
payment,CriminalRecord,175,2022-08
payment,DrivingLicense,20,2022-08
payment,MortgageCertificate,14,2022-08
payment_info,MortgageCertificate,62,2022-08
pending_rejected_try_again,MortgageCertificate,41,2022-08
prerequisites,AnnouncementOfDeath,4,2022-08
prerequisites,DrivingAssessmentApproval,119,2022-08
prerequisites,DrivingLicense,1277,2022-08
prerequisites,ExampleForm,1,2022-08
prerequisites,FinancialAid,24,2022-08
prerequisites,GeneralFishingLicense,5,2022-08
